,policy,seconds,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
88,harmony,90.95421934127808,92.75,32468172800.0,12.1,76696088576
89,harmony,92.02360081672668,100.0,32468172800.0,12.2,76696088576
90,harmony,93.04032301902771,68.5,32468172800.0,12.1,76696088576
91,harmony,94.0547890663147,77.625,32468172800.0,12.2,76696834048
92,harmony,95.05858778953552,0.0,32468172800.0,10.2,76696825856
93,harmony,96.06237483024597,0.0,32468172800.0,10.4,76706856960
94,harmony,97.06642460823059,88.125,32468172800.0,11.6,76698796032
95,harmony,98.07076144218445,75.75,32468172800.0,12.1,76698796032
96,harmony,99.19600367546082,98.75,32468172800.0,12.3,76698796032
97,harmony,100.20064902305603,95.625,32468172800.0,12.1,76698796032
98,harmony,101.22772598266602,89.125,32468172800.0,12.9,76705320960
99,harmony,102.25352334976196,88.875,32468434944.0,12.3,76706287616
100,harmony,103.25699639320374,72.75,32468434944.0,12.3,76706758656
101,harmony,104.3332154750824,0.0,32468434944.0,10.5,76706500608
102,harmony,105.33675384521484,0.0,32468434944.0,10.2,76706758656
103,harmony,106.34044170379639,97.5,32468434944.0,11.2,76706758656
104,harmony,107.35991382598877,75.875,32468434944.0,12.6,76705898496
105,harmony,108.3761830329895,64.0,32468434944.0,12.3,76705898496
106,harmony,109.41321682929993,81.0,32468434944.0,12.0,76706156544
107,harmony,110.41843008995056,98.375,32468434944.0,12.3,76706414592
108,harmony,111.42201161384583,98.375,32468434944.0,12.2,76706414592
109,harmony,112.42693638801575,64.875,32468434944.0,12.4,76706045952
110,harmony,113.43384122848511,0.0,32468434944.0,11.0,76705734656
111,harmony,114.4545545578003,0.0,32468434944.0,10.3,76705705984
112,harmony,115.45836281776428,99.25,32468434944.0,11.1,76705112064
113,harmony,116.46214580535889,98.875,32468434944.0,12.2,76704595968
114,harmony,117.71131348609924,80.25,32468434944.0,13.5,76705615872
115,harmony,118.72675776481628,78.5,32468434944.0,12.8,76712910848
116,harmony,119.81317520141602,99.125,32468434944.0,12.4,76714033152
117,harmony,120.89217185974121,91.625,32468434944.0,12.2,76713512960
118,harmony,122.00288891792297,69.75,32468434944.0,12.4,76713512960
119,harmony,123.10487580299377,0.0,32468434944.0,10.5,76713254912
120,harmony,124.13994550704956,0.0,32468434944.0,10.3,76713254912
121,harmony,125.1438717842102,79.5,32468434944.0,11.5,76713254912
122,harmony,126.1727147102356,71.0,32468434944.0,12.4,76712968192
123,harmony,127.29179286956787,94.0,32468434944.0,12.3,76712452096
124,harmony,128.36876702308655,90.625,32468434944.0,13.0,76714491904
125,harmony,129.43597674369812,93.5,32468434944.0,12.3,76714749952
126,harmony,130.48653841018677,71.5,32468434944.0,12.6,76714749952
127,harmony,131.5912537574768,68.625,32468434944.0,13.3,76718964736
128,harmony,132.59528183937073,0.0,32468434944.0,10.3,76718411776
129,harmony,133.5991175174713,0.0,32468434944.0,10.3,76718665728
130,harmony,134.60299682617188,97.75,32468434944.0,11.4,76718239744
131,harmony,135.60724306106567,96.375,32468434944.0,12.1,76717981696
132,harmony,136.72497606277466,78.5,32468434944.0,12.6,76717723648
133,harmony,137.808096408844,88.0,32468434944.0,12.4,76715995136
134,harmony,138.828355550766,98.375,32468434944.0,12.8,76718571520
